102 561
-0.715386 0.412311 0.499931
-0.714787 0.4015 0.4998
-0.715984 0.423122 0.500062
-0.722556 0.410365 0.499738
-0.710609 0.457501 0.500649
-0.71778 0.455555 0.500456
-0.717181 0.444744 0.500324
-0.593484 0.445396 0.503229
-0.600655 0.443449 0.503035
-0.600056 0.432638 0.502904
-0.601253 0.45426 0.503165
-0.607826 0.441503 0.50284
-0.595878 0.48864 0.503753
-0.603049 0.486694 0.503558
-0.60245 0.475883 0.503427
-0.603647 0.497505 0.503689
-0.610219 0.484747 0.503364
-0.61739 0.482801 0.50317
-0.616792 0.47199 0.503038
-0.63233 0.48972 0.502912
-0.638902 0.476963 0.502587
-0.631731 0.478909 0.502781
-0.60306 0.618373 0.505335
-0.61023 0.616426 0.505141
-0.609632 0.605615 0.505008
-0.610829 0.627237 0.505274
-0.617401 0.61448 0.504947
-0.605454 0.661617 0.505867
-0.612624 0.659671 0.505673
-0.612026 0.64886 0.505539
-0.65085 0.429826 0.501675
-0.65802 0.42788 0.501481
-0.657422 0.417069 0.50135
-0.658619 0.438691 0.501612
-0.665191 0.425934 0.501287
-0.653244 0.473071 0.502199
-0.660414 0.471124 0.502005
-0.659816 0.460313 0.501874
-0.661013 0.481935 0.502136
-0.667585 0.469178 0.501811
-0.674756 0.467232 0.501617
-0.674157 0.456421 0.501486
-0.689695 0.474151 0.501361
-0.696268 0.461394 0.501036
-0.689097 0.46334 0.50123
-0.655637 0.516315 0.502725
-0.662808 0.514369 0.502531
-0.66221 0.503558 0.502399
-0.663407 0.52518 0.502663
-0.669979 0.512423 0.502337
-0.658031 0.559559 0.503253
-0.665202 0.557613 0.503059
-0.664604 0.546802 0.502927
-0.536119 0.460965 0.504787
-0.543289 0.459019 0.504592
-0.542691 0.448208 0.504462
-0.543888 0.46983 0.504723
-0.55046 0.457072 0.504397
-0.538513 0.504209 0.50531
-0.545683 0.502263 0.505115
-0.545085 0.491452 0.504984
-0.546282 0.513074 0.505246
-0.552854 0.500317 0.504921
-0.560025 0.498371 0.504726
-0.559426 0.487559 0.504595
-0.574965 0.505289 0.504467
-0.581537 0.492532 0.504142
-0.574366 0.494478 0.504336
-0.540907 0.547453 0.505835
-0.548077 0.545507 0.505641
-0.547479 0.534696 0.505509
-0.548676 0.556318 0.505772
-0.555248 0.543561 0.505446
-0.5433 0.590698 0.506363
-0.550471 0.588751 0.506168
-0.549873 0.57794 0.506036
-0.55107 0.599562 0.5063
-0.557642 0.586805 0.505973
-0.564812 0.584859 0.505778
-0.564214 0.574048 0.505646
-0.579752 0.591778 0.505521
-0.586325 0.579021 0.505195
-0.579154 0.580967 0.505389
-0.593495 0.577074 0.505
-0.592897 0.566263 0.504868
-0.599469 0.553506 0.504542
-0.592298 0.555452 0.504736
-0.619784 0.526046 0.503695
-0.619186 0.515235 0.503564
-0.612613 0.527992 0.503889
-0.608435 0.583993 0.504744
-0.615007 0.571236 0.504417
-0.607837 0.573182 0.504611
-0.622178 0.56929 0.504223
-0.621579 0.558479 0.504091
-0.637118 0.576209 0.503967
-0.64369 0.563451 0.503641
-0.636519 0.565398 0.503835
-0.545694 0.633942 0.506892
-0.552865 0.631996 0.506697
-0.552267 0.621185 0.506564
-0.553463 0.642807 0.506829
-0.560036 0.630049 0.506502
-0.548088 0.677186 0.507423
-0.555259 0.67524 0.507228
-0.55466 0.664429 0.507095
-0.555857 0.686051 0.507361
-0.56243 0.673294 0.507033
-0.5696 0.671348 0.506839
-0.569002 0.660536 0.506706
-0.58454 0.678266 0.506583
-0.591112 0.665509 0.506255
